Time (years),Data_1,Data_2
2064216000.0,725898.5346372832,
2068684000.0,725395.3801146267,
2073152000.0,724892.5743521091,
2077620000.0,724390.1171079881,
2082088000.0,723888.0081406892,
2086556000.0,723386.2472088054,
2091024000.0,722884.8340710967,
2095492000.0,722383.7684864908,
2099960000.0,721883.0502140821,
2104428000.0,721382.6790131322,
2108896000.0,720882.6546430695,
2113364000.0,720382.976863489,
2117832000.0,719883.6454341527,
2122300000.0,719384.6601149888,
2126768000.0,718886.020666092,
2131236000.0,718387.7268477234,
2135704000.0,717889.77842031,
2140172000.0,717392.1751444452,
2144640000.0,716894.916780888,
2149108000.0,716398.0030905636,
2153576000.0,715901.4338345625,
2158044000.0,715405.2087741413,
2162512000.0,714909.3276707216,
2166980000.0,714413.7902858906,
2171448000.0,713918.5963814007,
2175916000.0,713423.7457191696,
2180384000.0,712929.2380612799,
2184852000.0,712435.0731699789,
2189320000.0,711941.2508076791,
2193788000.0,711447.7707369574,
2198256000.0,710954.6327205554,
2202724000.0,710461.8365213792,
2207192000.0,709969.3819024989,
2211660000.0,709477.2686271493,
2216128000.0,708985.496458729,
2220596000.0,708494.0651608008,
2225064000.0,708002.9744970911,
2229532000.0,707512.2242314904,
2234000000.0,707021.8141280527,
2238468000.0,706531.7439509954,
2242936000.0,706042.0134646996,
2247404000.0,705552.6224337097,
2251872000.0,705063.5706227331,
2256340000.0,704574.8577966404,
2260808000.0,704086.4837204652,
2265276000.0,703598.448159404,
2269744000.0,703110.7508788159,
2274212000.0,702623.3916442229,
2278680000.0,702136.3702213092,
2283148000.0,701649.6863759217,
2287616000.0,701163.3398740694,
2292084000.0,700677.3304819238,
2296552000.0,700191.657965818,
2301020000.0,699706.3220922473,
2305488000.0,699221.3226278691,
2309956000.0,698736.6593395022,
2314424000.0,698252.3319941271,
2318892000.0,697768.340358886,
2323360000.0,697284.6842010823,
2327828000.0,696801.3632881807,
2332296000.0,696318.3773878071,
2336764000.0,695835.7262677487,
2341232000.0,695353.4096959534,
2345700000.0,694871.4274405299,
2350168000.0,694389.7792697479,
2354636000.0,693908.4649520374,
2359104000.0,693427.4842559892,
2363572000.0,692946.8369503544,
2368040000.0,692466.5228040443,
2372508000.0,691986.5415861305,
2376976000.0,691506.8930658447,
2381444000.0,691027.5770125783,
2385912000.0,690548.5931958829,
