Time (years),Data_1,Data_2
17730.0,100000.0,99999.99999999993
17730.5,100000.0,99999.99999999993
17731.0,100000.0,99999.99999999993
17731.5,100000.0,99999.99999999993
17732.0,100000.0,99999.99999999993
17732.5,100000.0,99999.99999999993
17733.0,100000.0,99999.99999999993
17733.5,100000.0,99999.99999999993
17734.0,100000.0,99999.99999999993
17734.5,100000.0,99999.99999999993
17735.0,100000.0,99999.99999999993
17735.5,100000.0,99999.99999999993
17736.0,100000.0,99999.99999999993
17736.5,100000.0,99999.99999999993
17737.0,100000.0,99999.99999999993
17737.5,100000.0,99999.99999999993
17738.0,100000.0,99999.99999999993
17738.5,100000.0,99999.99999999993
17739.0,100000.0,99999.99999999993
17739.5,100000.0,99999.99999999993
17740.0,100000.0,99999.99999999993
17740.5,100000.0,99999.99999999993
17741.0,100000.0,99999.99999999993
17741.5,100000.0,99999.99999999993
17742.0,100000.0,99999.99999999993
17742.5,100000.0,99999.99999999993
17743.0,100000.0,99999.99999999993
17743.5,100000.0,99999.99999999993
17744.0,100000.0,99999.99999999993
17744.5,100000.0,99999.99999999993
17745.0,100000.0,99999.99999999993
17745.5,100000.0,99999.99999999993
17746.0,100000.0,99999.99999999993
17746.5,100000.0,99999.99999999993
17747.0,100000.0,99999.99999999993
17747.5,100000.0,99999.99999999993
17748.0,100000.0,99999.99999999993
17748.5,100000.0,99999.99999999993
17749.0,100000.0,99999.99999999993
17749.5,100000.0,99999.99999999993
17750.0,100000.0,99999.99999999993
17750.5,100000.0,99999.99999999993
17751.0,100000.0,99999.99999999993
17751.5,100000.0,99999.99999999993
17752.0,100000.0,99999.99999999993
17752.5,100000.0,99999.99999999993
17753.0,100000.0,99999.99999999993
17753.5,100000.0,99999.99999999993
17754.0,100000.0,99999.99999999993
17754.5,100000.0,99999.99999999993
17755.0,100000.0,99999.99999999993
17755.5,100000.0,99999.99999999993
17756.0,100000.0,99999.99999999993
17756.5,100000.0,99999.99999999993
17757.0,100000.0,99999.99999999993
17757.5,100000.0,99999.99999999993
17758.0,100000.0,99999.99999999993
17758.5,100000.0,99999.99999999993
17759.0,100000.0,99999.99999999993
17759.5,100000.0,99999.99999999993
17760.0,100000.0,99999.99999999993
17760.5,100000.0,99999.99999999993
17761.0,100000.0,99999.99999999993
17761.5,100000.0,99999.99999999993
17762.0,100000.0,99999.99999999993
17762.5,100000.0,99999.99999999993
17763.0,100000.0,99999.99999999993
17763.5,100000.0,99999.99999999993
17764.0,100000.0,99999.99999999993
17764.5,100000.0,99999.99999999993
17765.0,100000.0,99999.99999999993
17765.5,100000.0,99999.99999999993
17766.0,100000.0,99999.99999999993
17766.5,100000.0,99999.99999999993
17767.0,100000.0,99999.99999999993
17767.5,100000.0,99999.99999999993
17768.0,100000.0,99999.99999999993
17768.5,100000.0,99999.99999999993
17769.0,100000.0,99999.99999999993
17769.5,100000.0,99999.99999999993
17770.0,100000.0,99999.99999999993
17770.5,100000.0,99999.99999999993
17771.0,100000.0,99999.99999999993
17771.5,100000.0,99999.99999999993
17772.0,100000.0,99999.99999999993
17772.5,100000.0,99999.99999999993
17773.0,100000.0,99999.99999999993
17773.5,100000.0,99999.99999999993
17774.0,100000.0,99999.99999999993
17774.5,100000.0,99999.99999999993
17775.0,100000.0,99999.99999999993
17775.5,100000.0,99999.99999999993
17776.0,100000.0,99999.99999999993
17776.5,100000.0,99999.99999999993
17777.0,100000.0,99999.99999999993
17777.5,100000.0,99999.99999999993
17778.0,100000.0,99999.99999999993
17778.5,100000.0,99999.99999999993
17779.0,100000.0,99999.99999999993
17779.5,100000.0,99999.99999999993
17780.0,100000.0,99999.99999999993
17780.5,100000.0,99999.99999999993
17781.0,100000.0,99999.99999999993
17781.5,100000.0,99999.99999999993
17782.0,100000.0,99999.99999999993
17782.5,100000.0,99999.99999999993
17783.0,100000.0,99999.99999999993
17783.5,100000.0,99999.99999999993
17784.0,100000.0,99999.99999999993
17784.5,100000.0,99999.99999999993
17785.0,100000.0,99999.99999999993
17785.5,100000.0,99999.99999999993
17786.0,100000.0,99999.99999999993
17786.5,100000.0,99999.99999999993
17787.0,100000.0,99999.99999999993
17787.5,100000.0,99999.99999999993
17788.0,100000.0,99999.99999999993
17788.5,100000.0,99999.99999999993
17789.0,100000.0,99999.99999999993
17789.5,100000.0,99999.99999999993
17790.0,100000.0,99999.99999999993
17790.5,100000.0,99999.99999999993
17791.0,100000.0,99999.99999999993
17791.5,100000.0,99999.99999999993
17792.0,100000.0,99999.99999999993
17792.5,100000.0,99999.99999999993
17793.0,100000.0,99999.99999999993
17793.5,100000.0,99999.99999999993
17794.0,100000.0,99999.99999999993
17794.5,100000.0,99999.99999999993
